platform,order_placed_dt,order_num,customer_id,quantity,gross_sales_amount,discount,tax_amount,return_ind
Phone,2/14/2014,CA-2014-112291,KE-16420,7,233.45,0,11.67,0
Phone,2/14/2014,CA-2014-105172,PK-18910,6,18.9,0,0.95,0
Desktop,2/14/2014,CA-2014-133228,MS-17710,5,84.83,0,4.24,0
Desktop,2/14/2014,CA-2014-149538,KB-16585,12,364.93,0,18.25,0
Phone,2/14/2014,US-2014-128685,MZ-17515,2,7.18,0.2,0.35,0
Phone,2/14/2014,CA-2014-102988,GM-14695,22,4251.92,0,212.6,0
Phone,2/14/2014,CA-2014-113887,TH-21550,1,55.48,0,2.77,0
Desktop,2/14/2014,CA-2014-149104,RD-19900,16,770.61,0,38.53,0
Phone,2/14/2014,CA-2014-151001,JG-15805,8,101.73,0.4,5.07,0
Tablet,2/14/2014,US-2014-157231,RP-19855,7,115.36,0,5.77,0
Phone,2/14/2014,CA-2014-102652,AY-10555,13,199.99,0,10,1
Desktop,2/14/2014,CA-2014-136742,GP-14740,6,44.91,0.7,2.21,0
Desktop,2/14/2014,CA-2014-153808,FH-14275,8,436.49,0.2,21.81,0
Desktop,2/14/2014,CA-2014-169803,SC-20260,5,687.45,0,34.37,0
Phone,2/14/2014,US-2014-118486,SD-20485,6,281.85,0.8,14.05,0
Tablet,2/14/2014,CA-2014-124023,PJ-19015,2,8.96,0,0.45,0
Desktop,2/14/2014,CA-2014-128846,RS-19765,8,752.92,0,37.65,0
Phone,2/14/2014,CA-2014-165806,VM-21685,12,259.29,0,12.96,0
Phone,2/14/2014,CA-2014-100363,JM-15655,5,21.38,0.4,1.05,0
Desktop,2/14/2014,CA-2014-121769,JS-15880,1,172.11,0.4,8.59,0
Desktop,2/14/2014,CA-2014-150581,NM-18445,5,499.55,0.2,24.97,0
Phone,2/14/2014,US-2014-118997,RA-19885,8,1215.92,0,60.8,0
Phone,2/14/2014,US-2014-163797,PC-19000,8,49.79,0.2,2.48,0
Desktop,2/14/2014,CA-2014-110555,MM-18055,15,410.1,0.2,20.5,0
Phone,2/14/2014,CA-2014-138940,GM-14455,6,758.35,0.2,37.91,0
Phone,2/14/2014,US-2014-102715,JK-15370,15,737.2,0.8,36.82,0
Phone,2/14/2014,US-2014-121734,SE-20110,1,9.58,0.2,0.47,0
Phone,2/14/2014,CA-2014-142979,EH-13765,2,39.68,0,1.98,0
Desktop,2/14/2014,CA-2014-154599,KN-16450,28,1840.04,0.75,91.96,0
Desktop,2/14/2014,US-2014-158365,SV-20785,5,32.4,0,1.62,0
Phone,2/14/2014,CA-2014-122336,JD-15895,39,630.75,1.5,31.46,0
Phone,2/14/2014,CA-2014-167724,BF-11170,3,7.83,0,0.39,0
Phone,2/14/2014,US-2014-120740,PS-18970,6,294.72,0,14.74,0
Phone,2/14/2014,CA-2014-155208,SP-20650,6,39.07,0.2,1.94,0
Tablet,2/14/2014,CA-2014-100678,KM-16720,11,697.07,0.9,34.81,0
Phone,2/14/2014,CA-2014-110849,JL-15835,15,323.46,0.2,16.16,0
Phone,2/14/2014,CA-2014-158470,AG-10390,14,129.33,0,6.47,0
Desktop,2/14/2014,CA-2014-169460,NF-18595,3,76.14,0,3.81,0
Desktop,2/14/2014,CA-2014-101462,BP-11230,4,59.92,0,3,0
Desktop,2/14/2014,CA-2014-134572,SV-20365,12,1190.53,0.8,59.49,0
Tablet,2/14/2014,CA-2014-136336,DB-13555,6,828.84,0,41.44,0
Phone,2/14/2014,CA-2014-158064,AA-10375,5,16.52,0.2,0.82,0
Phone,2/14/2014,CA-2014-122070,AH-10030,11,257.75,0.2,12.88,0
Phone,2/14/2014,CA-2014-111857,NM-18445,1,48.91,0,2.45,0
Desktop,2/14/2014,US-2014-112564,TS-21160,3,2.5,0.7,0.09,0
Phone,2/14/2014,US-2014-150119,LB-16795,16,592.57,1.5,29.55,0
Tablet,2/14/2014,CA-2014-110100,LC-16885,3,302.38,0.2,15.11,0
Desktop,2/14/2014,CA-2014-166954,BT-11305,13,2061.01,0.2,103.04,0
Desktop,2/14/2014,US-2014-157406,DA-13450,5,16.61,0.4,0.81,0
Phone,2/14/2014,CA-2014-116785,MH-17290,7,34,0,1.7,1
Phone,2/14/2014,CA-2014-147298,AG-10300,9,248.57,0.4,12.41,0
Phone,2/14/2014,CA-2014-118976,MY-18295,14,526.96,0,26.35,0
Phone,2/14/2014,CA-2014-131387,AI-10855,5,1679.96,0.2,83.99,0
Tablet,2/14/2014,CA-2014-132983,DS-13180,2,159.98,0,8,0
Tablet,2/14/2014,CA-2014-140228,GB-14530,8,211.58,0.6,10.55,0
Phone,2/14/2014,CA-2014-107811,LA-16780,7,661.5,0.4,33.06,0
Phone,2/14/2014,CA-2014-118304,KH-16360,2,19.98,0,1,0
Phone,2/14/2014,CA-2014-134061,LL-16840,2,17.46,0,0.87,0
Desktop,2/14/2014,CA-2014-142727,HG-14845,5,69.9,0,3.5,0
Phone,2/14/2014,CA-2014-156006,TM-21010,3,47.79,0,2.39,0
Desktop,2/14/2014,CA-2014-160094,JM-16195,10,1000.95,0,50.05,0
Desktop,2/14/2014,CA-2014-115056,AR-10510,3,26.14,0.2,1.3,0
Tablet,2/14/2014,CA-2014-124618,CS-11860,2,479.98,0.2,23.99,0
Desktop,2/14/2014,CA-2014-130274,JS-15940,7,21.56,0,1.08,0
Desktop,2/14/2014,CA-2014-135755,NC-18415,6,51.07,0.4,2.53,0
Phone,2/14/2014,CA-2014-111899,NC-18340,8,43.31,0.4,2.15,0
Desktop,2/14/2014,CA-2014-117709,PM-18940,4,46.8,0,2.34,0
Desktop,2/14/2014,CA-2014-155271,AA-10480,2,27.46,0,1.37,0
Desktop,2/14/2014,US-2014-148194,BS-11365,11,69.86,0,3.49,0
Phone,2/14/2014,CA-2014-110219,EB-13870,3,127.87,0.3,6.38,0
Desktop,2/14/2014,CA-2014-111934,GD-14590,3,47.32,0,2.37,0
Phone,2/14/2014,CA-2014-160738,KH-16330,2,45.25,0.2,2.25,0
Phone,2/14/2014,CA-2014-166457,PF-19120,7,40.54,0,2.03,0
Phone,2/14/2014,CA-2014-121664,HP-14815,8,140.74,0.2,7.03,0
Phone,2/14/2014,US-2014-154879,SN-20710,8,113.72,0,5.69,0
Desktop,2/14/2014,CA-2014-166086,CT-11995,12,1091.35,0.3,54.55,0
Desktop,2/14/2014,CA-2014-116666,KT-16480,5,1799.97,0.4,89.98,0
Desktop,2/14/2014,CA-2014-158771,SB-20290,18,158.71,0,7.94,0
Tablet,2/14/2014,US-2014-102071,PG-18820,7,235.77,0,11.79,0
Phone,2/14/2014,CA-2014-103310,GM-14680,14,1769.78,0.4,88.47,0
Desktop,2/14/2014,CA-2014-114181,AF-10885,12,372.29,0.7,18.58,0
Phone,2/14/2014,CA-2014-159709,AI-10855,8,201.73,0.2,10.08,0
Phone,2/14/2014,CA-2014-103849,PG-18895,7,225.02,1,11.2,0
Phone,2/14/2014,CA-2014-119172,HD-14785,12,122.05,1,6.05,0
Desktop,2/14/2014,CA-2014-127523,BG-11695,3,35.91,0,1.8,0
Desktop,2/14/2014,CA-2014-139017,RM-19375,2,46.86,0.2,2.33,0
Phone,2/14/2014,CA-2014-152100,VW-21775,8,1212.96,0.3,60.63,0
Desktop,2/14/2014,CA-2014-127159,HL-15040,7,34.79,0,1.74,0
Phone,2/14/2014,CA-2014-155887,KT-16480,3,700.06,0.3,34.99,0
Tablet,2/14/2014,CA-2014-113768,AH-10030,8,287.46,0.2,14.36,0
Phone,2/14/2014,CA-2014-114433,NP-18325,3,149.97,0,7.5,0
Desktop,2/14/2014,CA-2014-140165,EH-14005,10,405.46,0.9,20.23,0
Phone,2/14/2014,CA-2014-167164,AG-10270,2,55.5,0,2.78,0
Phone,2/14/2014,CA-2014-106810,AJ-10795,2,310.88,0.2,15.53,0
Phone,2/14/2014,CA-2014-125150,PW-19030,5,232.88,0.2,11.63,0
Desktop,2/14/2014,US-2014-163146,CC-12475,3,56.4,0,2.82,0
Phone,2/14/2014,CA-2014-148761,PA-19060,3,91.68,0,4.58,0
Phone,2/14/2014,CA-2014-103373,BS-11755,2,779.8,0.4,38.97,1
Desktop,2/14/2014,CA-2014-133963,GA-14515,1,3.98,0.2,0.19,0
Phone,2/14/2014,CA-2014-164224,TT-21070,7,165.17,0.4,8.24,0
Phone,2/14/2014,CA-2014-130155,TD-20995,5,34.2,0,1.71,0
Phone,2/14/2014,US-2014-107699,JH-15820,9,57.42,0,2.87,0
Tablet,2/14/2014,CA-2014-130673,MC-17590,12,108.44,1.2,5.36,0
Phone,2/14/2014,US-2014-114188,RF-19345,20,211.66,0,10.58,0
Desktop,2/14/2014,CA-2014-104780,BT-11530,8,31.84,0,1.59,0
Desktop,2/14/2014,CA-2014-117639,MW-18235,10,3333.9,0,166.7,0
Phone,2/14/2014,CA-2014-127166,KH-16360,12,186.91,1.5,9.27,0
Desktop,2/14/2014,CA-2014-152443,FG-14260,16,711.68,0,35.58,0
Tablet,2/14/2014,CA-2014-143840,EH-14185,3,180.93,0,9.05,1
Phone,2/14/2014,CA-2014-138513,EH-13990,2,12.96,0,0.65,0
Desktop,2/14/2014,US-2014-105767,AR-10510,13,79.64,1.3,3.92,0
Phone,2/14/2014,US-2014-135881,GT-14710,8,231.16,0.2,11.55,0
Phone,2/14/2014,CA-2014-143413,RP-19390,3,116.28,0,5.81,0
Phone,2/14/2014,CA-2014-100391,BW-11065,2,14.62,0,0.73,0
Phone,2/14/2014,US-2014-130379,JL-15235,4,104.92,1.4,5.18,0
Phone,2/14/2014,CA-2014-129574,Dp-13240,5,48.4,0,2.42,0
Phone,2/14/2014,CA-2014-144029,MM-18055,8,475.79,0.7,23.75,0
Phone,2/14/2014,CA-2014-156349,ML-17395,6,576.23,0.55,28.78,1
Phone,2/14/2014,CA-2014-158029,HF-14995,2,225.3,0.2,11.25,0
Tablet,2/14/2014,CA-2014-124429,MH-17785,14,926.44,0.2,46.31,0
Desktop,2/14/2014,CA-2014-139192,LC-16885,13,1213.49,0.2,60.66,0
Phone,2/14/2014,US-2014-117058,LE-16810,6,17.46,0.8,0.83,0
Desktop,2/14/2014,CA-2014-108861,MM-17260,4,136.96,0.2,6.84,1
Desktop,2/14/2014,CA-2014-135993,PJ-18835,10,85.01,0.2,4.24,0
Phone,2/14/2014,CA-2014-103429,LW-16825,14,765.49,0.2,38.26,0
Phone,2/14/2014,CA-2014-105872,JG-15160,4,70.37,0.2,3.51,0
Desktop,2/14/2014,CA-2014-140473,MC-17425,3,719.98,0.2,35.99,0
Phone,2/14/2014,CA-2014-145800,SS-20410,3,355.46,0.5,17.75,0
Phone,2/14/2014,CA-2014-146885,EB-13840,3,13.62,0,0.68,0
Tablet,2/14/2014,CA-2014-166051,JK-15625,6,773.7,0,38.69,0
Tablet,2/14/2014,CA-2014-111003,CR-12625,9,334.68,0,16.73,0
Desktop,2/14/2014,CA-2014-131926,DW-13480,24,3745.63,0,187.28,0
Phone,2/14/2014,US-2014-157070,QJ-19255,9,204.08,0.1,10.2,0
Tablet,2/14/2014,US-2014-165659,LT-17110,13,904.13,0,45.21,0
Phone,2/14/2014,CA-2014-100895,SV-20785,7,605.47,0,30.27,0
Phone,2/14/2014,CA-2014-104472,CK-12325,9,133.13,0.2,6.65,0
Phone,2/14/2014,CA-2014-135657,SC-20725,6,515.88,0,25.79,1
Desktop,2/14/2014,CA-2014-141299,RB-19795,2,15.28,0,0.76,0
Tablet,2/14/2014,CA-2014-163867,RE-19450,14,210.18,1,10.46,0
Phone,2/14/2014,CA-2014-147914,MP-17470,2,16.22,0.2,0.8,0
Desktop,2/14/2014,CA-2014-151946,BT-11440,10,440.05,0.2,21.99,0
Desktop,2/14/2014,CA-2014-133270,BM-11785,2,13.36,0,0.67,0
Desktop,2/14/2014,CA-2014-151897,VT-21700,10,100.24,0.2,5,0
Phone,2/14/2014,CA-2014-159520,GT-14635,14,1158.45,0.6,57.89,0
Desktop,2/14/2014,CA-2014-169257,SV-20785,3,63.38,0.9,3.12,0
Phone,2/14/2014,US-2014-161305,SB-20170,5,38.57,1,1.88,0
Desktop,2/14/2014,CA-2014-106229,NR-18550,3,268.94,0.5,13.42,0
Desktop,2/14/2014,US-2014-134971,BP-11095,3,12.46,0.8,0.58,0
Desktop,2/14/2014,CA-2014-108147,RD-19480,8,1745.36,0.2,87.26,0
Desktop,2/14/2014,US-2014-109162,KE-16420,3,170.35,0.2,8.51,0
Phone,2/14/2014,US-2014-141257,CS-11950,3,585.55,0.2,29.27,0
Tablet,2/14/2014,CA-2014-115812,BH-11710,38,3714.3,0.8,185.68,0
Desktop,2/14/2014,CA-2014-132612,FO-14305,7,1441.3,0,72.07,0
Desktop,2/14/2014,CA-2014-133753,CW-11905,5,142.34,0.6,7.09,0
Phone,2/14/2014,CA-2014-133851,CM-12445,4,30.46,0,1.52,0
Phone,2/14/2014,CA-2014-160262,TS-21205,12,134.6,0,6.73,0
Phone,2/14/2014,CA-2014-144281,HK-14890,5,491.55,0,24.58,0
Desktop,2/14/2014,CA-2014-114643,FM-14215,3,14.52,0,0.73,0
Desktop,2/14/2014,CA-2014-140487,SR-20425,3,212.94,0,10.65,0
Desktop,2/14/2014,CA-2014-126963,PS-18760,2,36.54,0.2,1.82,0
Tablet,2/14/2014,US-2014-141215,KL-16555,9,906.43,1.4,45.25,0
Phone,2/14/2014,CA-2014-113929,CK-12205,12,115.95,0.2,5.79,0
Phone,2/14/2014,CA-2014-136644,SC-20575,8,647.84,0,32.39,0
Desktop,2/14/2014,CA-2014-104402,DB-13660,3,65.97,0,3.3,0
Tablet,2/14/2014,CA-2014-144414,GH-14425,11,3290.52,0.2,164.52,0
Tablet,2/14/2014,CA-2014-156342,JF-15415,2,62.02,0.2,3.09,0
Phone,2/14/2014,CA-2014-123855,MC-18100,5,139.8,0.2,6.98,0
Phone,2/14/2014,CA-2014-166863,SC-20020,24,1353.53,2.32,67.56,0
Desktop,2/14/2014,US-2014-112949,Co-12640,8,475.42,0,23.77,0
Tablet,2/14/2014,CA-2014-128146,DB-13060,9,1326.69,0,66.33,0
Desktop,2/14/2014,CA-2014-130624,TB-21280,9,697.32,0,34.87,0
Desktop,2/14/2014,CA-2014-138317,NW-18400,16,385.26,2.2,19.15,0
Phone,2/14/2014,CA-2014-141278,RM-19375,5,21.4,0,1.07,0
Phone,2/14/2014,CA-2014-141796,JG-15160,3,1214.85,0,60.74,0
Phone,2/14/2014,US-2014-117135,NP-18325,5,425.67,0,21.28,0
Phone,2/14/2014,US-2014-160780,SV-20785,9,36.25,1.4,1.74,0
Tablet,2/14/2014,CA-2014-124646,DV-13465,6,663.75,0,33.19,0
Phone,2/14/2014,CA-2014-133389,TB-21280,3,8.23,0.7,0.38,0
Phone,2/14/2014,CA-2014-142048,JE-15745,6,196.75,0.2,9.83,0
Desktop,2/14/2014,CA-2014-154963,AA-10645,11,1106.77,1,55.29,0
Phone,2/14/2014,CA-2014-126032,BS-11665,3,86.38,0.2,4.31,0
Phone,2/14/2014,US-2014-130358,DL-13330,10,23.12,0.4,1.14,0
Phone,2/14/2014,CA-2014-159814,LP-17080,2,4.27,0.2,0.2,0
Desktop,2/14/2014,CA-2014-159338,NS-18640,5,447.84,0.2,22.38,1
Phone,2/14/2014,CA-2014-164469,GK-14620,17,344.92,0.6,17.22,0
Phone,2/14/2014,CA-2014-104283,LM-17065,10,616.14,0,30.81,0
Desktop,2/14/2014,CA-2014-140858,CA-12775,23,1639.71,2.1,81.88,0
Desktop,2/14/2014,CA-2014-156993,RW-19630,1,6.08,0,0.3,0
Phone,2/14/2014,CA-2014-111773,JK-15625,3,13.92,0.2,0.69,0
Desktop,2/14/2014,CA-2014-165974,DL-12865,7,32.76,0.2,1.63,0
Desktop,2/14/2014,CA-2014-109218,AR-10825,5,32.4,0,1.62,0
Desktop,2/14/2014,CA-2014-116757,MS-17980,11,47.23,0.4,2.34,0
Desktop,2/14/2014,CA-2014-123064,RA-19915,4,5.25,0.2,0.25,0
Desktop,2/14/2014,CA-2014-146640,HA-14905,7,334.77,0.2,16.73,0
Desktop,2/14/2014,CA-2014-152254,BD-11620,7,310.69,0.2,15.52,0
Phone,2/14/2014,US-2014-121566,CS-11860,4,9.29,0.2,0.45,0
Phone,2/14/2014,CA-2014-153150,Dl-13600,5,19.92,0.2,0.99,1
Phone,2/14/2014,CA-2014-160773,LW-16825,8,581.1,0.9,29.01,1
