platform,order_placed_dt,order_num,quantity,item_id,item_price,return_ind
Phone,29-08-2016,CA-2016-158568,7,OFF-PA-10003256,9.232,0
Phone,29-08-2016,CA-2016-158568,3,TEC-AC-10001767,31.992,0
Phone,29-08-2016,CA-2016-158568,3,OFF-BI-10002609,0.596,0
Desktop,"January 12, 2016",CA-2016-129903,4,OFF-PA-10004040,5.98,0
Phone,13-11-2015,US-2015-156867,6,TEC-AC-10001552,39.816,0
Phone,13-11-2015,US-2015-156867,3,FUR-FU-10004006,34.12,0
Phone,13-11-2015,US-2015-156867,3,OFF-BI-10002794,12.294,0
Phone,23-11-2017,CA-2017-119004,8,TEC-AC-10003499,9.264,0
Phone,23-11-2017,CA-2017-119004,1,TEC-PH-10002844,27.992,0
Phone,23-11-2017,CA-2017-119004,1,OFF-AR-10000390,3.304,0
Desktop,15-10-2015,CA-2015-129476,5,TEC-AC-10000844,67.992,0
Desktop,25-12-2017,CA-2017-146780,2,FUR-FU-10001934,20.98,0
Phone,"March 11, 2016",CA-2016-128867,2,OFF-AR-10000380,37.98,0
Phone,"March 11, 2016",CA-2016-128867,6,OFF-BI-10003981,4.54,0
Desktop,25-08-2014,CA-2014-115259,14,OFF-FA-10000621,2.864,0
Desktop,25-08-2014,CA-2014-115259,2,OFF-EN-10002600,2.36,0
Desktop,25-08-2014,CA-2014-115259,3,OFF-PA-10004965,7.992,0
Desktop,25-08-2014,CA-2014-115259,6,OFF-EN-10002504,21.744,0
Tablet,"February 3, 2015",CA-2015-110457,3,FUR-TA-10001768,262.51,0
Phone,"May 4, 2015",US-2015-136476,1,OFF-BI-10003650,157.794,0
Phone,"December 6, 2016",CA-2016-103730,3,FUR-FU-10002157,15.68,0
Phone,"December 6, 2016",CA-2016-103730,4,OFF-BI-10003910,7.71,0
Phone,"December 6, 2016",CA-2016-103730,6,OFF-ST-10000777,37.76,0
Phone,"December 6, 2016",CA-2016-103730,9,OFF-EN-10002500,12.78,0
Phone,"December 6, 2016",CA-2016-103730,7,TEC-PH-10003875,9.72,0
Desktop,26-12-2014,US-2014-152030,3,FUR-CH-10004063,200.186,0
Desktop,20-09-2014,US-2014-134614,6,FUR-TA-10004534,102.95,0
Phone,"May 11, 2017",US-2017-107272,2,OFF-BI-10003274,1.194,0
Phone,"May 11, 2017",US-2017-107272,7,OFF-ST-10002974,34.856,0
Desktop,"June 11, 2016",US-2016-125969,2,FUR-CH-10001146,40.712,0
Desktop,"June 11, 2016",US-2016-125969,3,FUR-FU-10003773,79.52,0
Phone,"February 2, 2017",US-2017-164147,5,TEC-PH-10002293,11.994,0
Phone,"February 2, 2017",US-2017-164147,2,OFF-PA-10002377,39.152,0
Phone,"February 2, 2017",US-2017-164147,9,OFF-FA-10002780,2.384,0
Desktop,13-10-2016,CA-2016-145583,3,OFF-PA-10001804,6.68,1
Desktop,13-10-2016,CA-2016-145583,1,OFF-PA-10001736,35.44,1
Desktop,13-10-2016,CA-2016-145583,4,OFF-AR-10001149,2.88,1
Desktop,13-10-2016,CA-2016-145583,2,OFF-FA-10002988,2.01,1
Desktop,13-10-2016,CA-2016-145583,3,OFF-BI-10004781,25.392,1
Desktop,13-10-2016,CA-2016-145583,6,OFF-SU-10001218,10.98,1
Desktop,13-10-2016,CA-2016-145583,14,FUR-FU-10001706,3.08,1
Phone,"May 9, 2016",CA-2016-110366,2,FUR-FU-10004848,41.4,0
Tablet,18-09-2017,CA-2017-106180,3,OFF-AR-10000940,2.94,0
Tablet,18-09-2017,CA-2017-106180,3,OFF-EN-10004030,3.62,0
Tablet,18-09-2017,CA-2017-106180,3,OFF-PA-10004327,47.9,0
Desktop,22-12-2017,CA-2017-155376,3,OFF-AP-10001058,279.81,0
Desktop,"July 9, 2015",CA-2015-110744,7,OFF-ST-10003656,95.99,0
Phone,22-10-2014,CA-2014-110072,4,FUR-FU-10000521,23.472,0
Desktop,"May 12, 2016",CA-2016-114489,11,TEC-PH-10000215,34.95,0
Desktop,"May 12, 2016",CA-2016-114489,3,TEC-PH-10001448,49.99,0
Desktop,"May 12, 2016",CA-2016-114489,8,FUR-CH-10000454,243.98,0
Desktop,"May 12, 2016",CA-2016-114489,5,OFF-BI-10002735,34.31,0
Phone,13-03-2016,CA-2016-158834,5,OFF-AP-10000326,31.584,0
Phone,13-03-2016,CA-2016-158834,2,TEC-PH-10001254,101.592,0
Desktop,31-05-2015,CA-2015-124919,7,OFF-PA-10001950,8.34,0
Desktop,31-05-2015,CA-2015-124919,4,OFF-PA-10002254,26.38,0
Desktop,31-05-2015,CA-2015-124919,6,OFF-ST-10001590,13.48,0
Phone,28-05-2015,CA-2015-118948,3,OFF-AR-10001547,2.21,0
Desktop,"January 3, 2014",CA-2014-104269,2,FUR-CH-10004063,228.784,0
Tablet,20-11-2016,CA-2016-114104,2,OFF-LA-10002475,7.31,0
Tablet,20-11-2016,CA-2016-114104,7,TEC-PH-10004536,134.99,0
Desktop,"November 5, 2016",CA-2016-162733,1,OFF-PA-10002751,5.98,0
Phone,28-12-2015,CA-2015-119697,2,TEC-AC-10003657,27.192,0
Desktop,16-11-2016,CA-2016-154508,5,OFF-EN-10001990,5.68,0
Phone,"July 11, 2016",CA-2016-113817,2,OFF-BI-10004002,13.84,0
Phone,"August 9, 2014",CA-2014-139892,3,OFF-AR-10004441,3.312,0
Phone,"August 9, 2014",CA-2014-139892,8,TEC-MA-10000822,1019.994,0
Phone,"August 9, 2014",CA-2014-139892,3,OFF-ST-10000991,91.976,0
Phone,"August 9, 2014",CA-2014-139892,9,FUR-CH-10004287,193.34,0
Phone,"August 9, 2014",CA-2014-139892,6,OFF-AR-10002656,5.344,0
Phone,"August 9, 2014",CA-2014-139892,5,OFF-AP-10002518,35.596,0
Phone,"August 9, 2014",CA-2014-139892,3,TEC-PH-10003931,47.992,0
Desktop,"May 8, 2014",CA-2014-118962,3,OFF-PA-10000659,6.98,0
Desktop,"May 8, 2014",CA-2014-118962,2,OFF-PA-10001144,55.48,0
Desktop,"May 8, 2014",CA-2014-118962,7,FUR-CH-10003817,48.592,0
Phone,14-09-2014,US-2014-100853,2,OFF-AP-10000891,26.224,0
Phone,14-09-2014,US-2014-100853,4,OFF-LA-10003148,5.04,0
Phone,21-04-2017,US-2017-152366,4,OFF-AP-10002684,24.316,0
Phone,21-11-2015,US-2015-101511,7,FUR-CH-10004698,56.686,0
Phone,21-11-2015,US-2015-101511,5,OFF-SU-10002189,3.176,0
Desktop,15-12-2015,CA-2015-137225,1,OFF-AR-10001940,3.28,0
Tablet,"May 12, 2014",CA-2014-166191,2,OFF-ST-10003455,12.408,0
Tablet,"May 12, 2014",CA-2014-166191,7,TEC-AC-10004659,58.392,0
Desktop,19-11-2014,CA-2014-158274,4,TEC-PH-10003273,125.99,0
Desktop,19-11-2014,CA-2014-158274,5,TEC-PH-10004896,29.99,0
Desktop,19-11-2014,CA-2014-158274,2,TEC-AC-10002345,14.5,0
Desktop,28-11-2016,CA-2016-105018,2,OFF-BI-10001890,3.58,0
Phone,26-08-2014,CA-2014-123260,8,TEC-AC-10002323,22.1,0
Phone,16-07-2016,CA-2016-157000,3,OFF-ST-10001328,12.408,0
Phone,16-07-2016,CA-2016-157000,3,OFF-PA-10001950,6.672,0
Phone,"December 10, 2015",CA-2015-102281,4,FUR-BO-10002613,224.784,0
Phone,"December 10, 2015",CA-2015-102281,6,TEC-PH-10001552,11.96,0
Phone,"December 10, 2015",CA-2015-102281,8,OFF-PA-10000061,6.48,0
Phone,"December 10, 2015",CA-2015-102281,3,FUR-BO-10002545,208.784,0
Phone,"December 10, 2015",CA-2015-102281,5,OFF-AR-10003514,3.98,0
Phone,31-10-2015,CA-2015-131457,7,OFF-EN-10001509,2.04,0
Desktop,21-03-2014,CA-2014-140004,2,OFF-AR-10004685,3.704,0
Desktop,21-03-2014,CA-2014-140004,3,OFF-AR-10004027,2.016,0
Phone,"June 11, 2017",CA-2017-107720,3,OFF-ST-10001414,15.42,0
Phone,"June 7, 2017",US-2017-124303,2,OFF-BI-10000343,1.473,0
Phone,"June 7, 2017",US-2017-124303,3,OFF-PA-10002749,5.352,0
Phone,24-06-2017,CA-2017-105074,3,OFF-PA-10002666,7.248,0
Tablet,"March 8, 2014",CA-2014-133690,2,FUR-TA-10004289,109.375,1
Tablet,"March 8, 2014",CA-2014-133690,1,OFF-AP-10003622,2.6,1
Phone,17-12-2017,US-2017-116701,2,OFF-AP-10003217,33.142,0
Tablet,"March 6, 2017",CA-2017-126382,7,FUR-FU-10002960,5.024,0
Tablet,"September 12, 2017",CA-2017-108329,4,TEC-PH-10001918,111.192,0
Phone,"January 12, 2017",CA-2017-135860,4,OFF-ST-10000642,20.98,0
Phone,"January 12, 2017",CA-2017-135860,2,TEC-PH-10001700,65.99,0
Phone,"January 12, 2017",CA-2017-135860,4,OFF-BI-10003274,3.98,0
Phone,"January 12, 2017",CA-2017-135860,9,OFF-FA-10000134,5.81,0
Phone,"January 12, 2017",CA-2017-135860,1,OFF-ST-10001522,91.99,0
Desktop,"September 2, 2015",CA-2015-101007,2,TEC-AC-10001266,10.4,0
Phone,"February 1, 2015",CA-2015-146262,2,OFF-LA-10004544,11.84,1
Phone,"February 1, 2015",CA-2015-146262,5,FUR-BO-10004695,90.49,1
Phone,"February 1, 2015",CA-2015-146262,3,TEC-PH-10002844,20.994,1
Phone,"February 1, 2015",CA-2015-146262,9,TEC-MA-10000864,132,1
Phone,"February 1, 2015",CA-2015-146262,2,TEC-AC-10000109,44.792,1
Phone,28-10-2016,CA-2016-130162,6,OFF-ST-10001328,15.51,0
Phone,28-10-2016,CA-2016-130162,3,TEC-PH-10002563,100.792,0
Desktop,24-12-2015,CA-2015-169397,2,OFF-FA-10000585,2.792,1
Desktop,24-12-2015,CA-2015-169397,6,OFF-PA-10004000,3.784,1
Desktop,24-12-2015,CA-2015-169397,4,OFF-BI-10002852,4.944,1
Desktop,24-12-2015,CA-2015-169397,4,FUR-FU-10000087,18.176,1
Desktop,24-12-2015,CA-2015-169397,4,TEC-MA-10001148,119.997,1
Desktop,24-12-2015,CA-2015-169397,2,OFF-AR-10001958,13.584,1
Phone,"September 8, 2015",CA-2015-163055,1,OFF-AR-10001026,2.2,0
Phone,"September 8, 2015",CA-2015-163055,5,FUR-TA-10003748,124.49,0
Phone,"September 8, 2015",CA-2015-163055,1,OFF-ST-10002485,21.98,0
Phone,28-02-2015,US-2015-145436,2,FUR-CH-10004860,80.784,0
Phone,28-02-2015,US-2015-145436,8,FUR-CH-10004477,48.712,0
Phone,13-09-2014,US-2014-156216,7,OFF-BI-10001679,2.664,0
Desktop,"July 4, 2017",US-2017-100930,2,FUR-TA-10001705,116.93,0
Desktop,"July 4, 2017",US-2017-100930,3,FUR-TA-10003473,206.8715,0
Desktop,"July 4, 2017",US-2017-100930,2,OFF-BI-10001679,2.664,0
Desktop,"July 4, 2017",US-2017-100930,3,FUR-FU-10004017,86.024,0
Desktop,"July 4, 2017",US-2017-100930,3,TEC-AC-10003832,205.992,0
Phone,"December 11, 2017",CA-2017-160514,2,OFF-PA-10002479,5.28,0
Desktop,"April 6, 2016",CA-2016-157749,5,OFF-PA-10003349,5.184,0
Desktop,"April 6, 2016",CA-2016-157749,5,FUR-FU-10000576,83.936,0
Desktop,"April 6, 2016",CA-2016-157749,3,FUR-FU-10004351,3.896,0
Desktop,"April 6, 2016",CA-2016-157749,2,TEC-PH-10000011,15.992,0
Desktop,"April 6, 2016",CA-2016-157749,5,FUR-TA-10002607,35.445,0
Desktop,"April 6, 2016",CA-2016-157749,3,FUR-FU-10002505,1.348,0
Desktop,"April 6, 2016",CA-2016-157749,2,OFF-AR-10004685,3.704,0
Desktop,"January 6, 2014",CA-2014-131926,7,FUR-CH-10004063,285.98,0
Desktop,"January 6, 2014",CA-2014-131926,2,OFF-ST-10002276,83.36,0
Desktop,"January 6, 2014",CA-2014-131926,6,OFF-PA-10004082,7.98,0
Desktop,"January 6, 2014",CA-2014-131926,5,OFF-AP-10002945,300.65,0
Desktop,"January 6, 2014",CA-2014-131926,4,OFF-PA-10000061,6.48,0
Desktop,"October 12, 2016",CA-2016-154739,2,FUR-CH-10002965,160.784,0
Phone,"November 9, 2016",CA-2016-145625,1,OFF-PA-10004569,7.61,0
Phone,"November 9, 2016",CA-2016-145625,13,TEC-AC-10003832,257.49,0
Phone,"October 12, 2016",CA-2016-146941,6,OFF-ST-10001228,13.43,0
Phone,"October 12, 2016",CA-2016-146941,4,OFF-EN-10003296,90.48,0
Desktop,28-11-2015,US-2015-159982,9,FUR-FU-10002505,1.348,0
Desktop,28-11-2015,US-2015-159982,2,OFF-ST-10004804,41.184,0
Desktop,28-11-2015,US-2015-159982,5,OFF-ST-10001590,10.784,0
Desktop,28-11-2015,US-2015-159982,6,TEC-PH-10001580,107.984,0
Desktop,"January 12, 2017",CA-2017-163139,3,TEC-AC-10000290,6.79,0
Desktop,"January 12, 2017",CA-2017-163139,3,OFF-ST-10002790,73.85,0
Desktop,"January 12, 2017",CA-2017-163139,5,OFF-BI-10003460,3.504,0
Phone,"August 6, 2017",US-2017-155299,2,OFF-AP-10002203,0.812,0
Desktop,19-09-2014,US-2014-106992,3,TEC-MA-10000822,1019.994,0
Desktop,19-09-2014,US-2014-106992,7,TEC-MA-10003353,359.994,0
Desktop,"June 6, 2016",CA-2016-125318,4,TEC-PH-10001433,82.056,0
Desktop,"October 11, 2015",CA-2015-155040,2,TEC-AC-10004469,39.95,0
Desktop,16-06-2017,CA-2017-136826,3,OFF-AR-10003602,4.672,0
Phone,22-01-2016,CA-2016-111010,6,OFF-FA-10003472,1.26,0
Desktop,"September 12, 2017",US-2017-145366,1,OFF-ST-10004180,37.208,0
Desktop,"September 12, 2017",US-2017-145366,3,OFF-EN-10004386,19.192,0
Desktop,28-12-2017,CA-2017-163979,4,OFF-ST-10003208,181.46,0
Phone,30-07-2015,CA-2015-155334,7,TEC-AC-10003628,29.99,0
Phone,30-07-2015,CA-2015-155334,3,FUR-FU-10003274,1.76,0
Phone,30-07-2015,CA-2015-155334,3,OFF-BI-10002557,3.64,0
Phone,16-09-2017,CA-2017-118136,2,OFF-PA-10002615,4.41,0
Phone,16-09-2017,CA-2017-118136,1,OFF-AR-10001427,5.98,0
Desktop,13-10-2017,CA-2017-132976,2,OFF-PA-10000673,5.824,0
Desktop,13-10-2017,CA-2017-132976,4,OFF-PA-10004470,4.544,0
Desktop,13-10-2017,CA-2017-132976,6,OFF-ST-10000876,9.952,0
Desktop,13-10-2017,CA-2017-132976,3,OFF-LA-10002043,8.28,0
Phone,26-09-2015,US-2015-161991,5,OFF-BI-10004967,0.416,0
Phone,26-09-2015,US-2015-161991,7,TEC-PH-10001760,159.2,0
Phone,"February 11, 2015",CA-2015-130890,5,FUR-TA-10002903,207.768,0
Phone,26-09-2015,CA-2015-130883,5,OFF-PA-10000474,28.352,0
Phone,26-09-2015,CA-2015-130883,5,TEC-AC-10001956,47.96,0
Phone,26-09-2015,CA-2015-130883,6,OFF-PA-10004100,5.184,0
Desktop,18-12-2016,CA-2016-112697,7,OFF-BI-10000778,36.294,0
Desktop,18-12-2016,CA-2016-112697,2,OFF-AP-10002684,97.264,0
Desktop,18-12-2016,CA-2016-112697,5,OFF-SU-10000646,192.296,0
Phone,20-11-2016,CA-2016-110772,7,OFF-FA-10002983,2.728,0
Phone,20-11-2016,CA-2016-110772,8,OFF-LA-10004689,2.312,0
Phone,20-11-2016,CA-2016-110772,2,TEC-AC-10002001,127.992,0
Phone,20-11-2016,CA-2016-110772,3,FUR-BO-10004709,28.99,0
Desktop,26-12-2014,CA-2014-111451,8,FUR-FU-10004091,37.552,0
Desktop,26-12-2014,CA-2014-111451,3,FUR-CH-10001891,76.784,0
Desktop,26-12-2014,CA-2014-111451,3,FUR-FU-10002918,72.784,0
Desktop,26-12-2014,CA-2014-111451,5,OFF-BI-10004593,15.72,0
Desktop,26-12-2014,CA-2014-111451,3,OFF-FA-10004854,9.184,0
Phone,28-10-2016,CA-2016-142545,5,OFF-PA-10002105,6.48,0
Phone,28-10-2016,CA-2016-142545,8,OFF-ST-10002756,135.31,0
Phone,28-10-2016,CA-2016-142545,3,OFF-PA-10004243,18.97,0
Phone,28-10-2016,CA-2016-142545,4,FUR-FU-10001861,19.4,0
Phone,28-10-2016,CA-2016-142545,1,OFF-BI-10002706,14.28,0
Tablet,19-11-2017,US-2017-152380,3,FUR-TA-10002533,73.025,0
Phone,"April 5, 2015",CA-2015-144253,2,FUR-FU-10002671,13.4,0
Tablet,30-12-2014,CA-2014-130960,3,OFF-AR-10003651,3.28,0
Tablet,"January 6, 2014",CA-2014-111003,3,OFF-BI-10001072,15.16,0
Tablet,"January 6, 2014",CA-2014-111003,6,OFF-AR-10002135,48.2,0
Phone,15-04-2017,CA-2017-126774,1,OFF-AR-10002804,4.89,0
Phone,"December 9, 2016",CA-2016-142902,4,FUR-FU-10001918,3.784,0
Phone,"December 9, 2016",CA-2016-142902,2,FUR-CH-10004086,233.384,0
Phone,"December 9, 2016",CA-2016-142902,1,FUR-FU-10001756,15.232,0
Phone,"December 9, 2016",CA-2016-142902,3,OFF-LA-10000634,2.088,0
Phone,27-09-2014,CA-2014-120887,3,FUR-FU-10001588,29.18,0
Phone,"September 8, 2014",CA-2014-167850,2,TEC-PH-10002398,89.192,0
Phone,"September 8, 2014",CA-2014-167850,3,OFF-PA-10001937,5.184,0
Phone,28-12-2014,CA-2014-164259,4,OFF-AR-10003373,24.784,0
Phone,"April 11, 2014",CA-2014-164973,1,FUR-CH-10002602,135.882,0
Phone,"April 11, 2014",CA-2014-164973,2,TEC-MA-10002927,1995.99,0
Phone,"April 11, 2014",CA-2014-164973,6,TEC-PH-10004093,45.99,0
Phone,"April 11, 2014",CA-2014-164973,4,TEC-AC-10000892,90,0
Phone,"April 11, 2014",CA-2014-164973,1,OFF-ST-10002974,43.57,0
Desktop,19-09-2014,CA-2014-156601,2,OFF-FA-10000624,3.58,0
Desktop,23-04-2016,CA-2016-162138,6,OFF-BI-10004593,41.92,1
Desktop,23-04-2016,CA-2016-162138,1,TEC-AC-10001908,99.99,1
Phone,"March 11, 2017",CA-2017-153339,1,FUR-FU-10001967,15.992,0
Phone,30-08-2016,US-2016-141544,3,TEC-PH-10003645,96.966,0
Phone,30-08-2016,US-2016-141544,2,OFF-ST-10000675,27.112,0
Phone,30-08-2016,US-2016-141544,4,FUR-CH-10003312,196.686,0
Phone,30-08-2016,US-2016-141544,10,OFF-LA-10001074,10.024,0
Phone,30-08-2016,US-2016-141544,6,OFF-BI-10001524,6.294,0
Desktop,25-04-2016,US-2016-150147,2,TEC-PH-10004614,41.4,0
Desktop,25-04-2016,US-2016-150147,2,OFF-BI-10001153,10.362,0
Desktop,25-04-2016,US-2016-150147,3,OFF-BI-10001982,1.632,0
Desktop,"January 9, 2015",CA-2015-137946,1,OFF-BI-10001922,4.752,0
Desktop,"January 9, 2015",CA-2015-137946,2,TEC-CO-10001449,479.992,0
Desktop,"January 9, 2015",CA-2015-137946,4,OFF-BI-10004140,3.592,0
Tablet,"December 7, 2014",CA-2014-129924,2,OFF-BI-10003314,3.856,0
Tablet,"December 7, 2014",CA-2014-129924,3,FUR-TA-10004575,232.784,0
Phone,22-06-2015,CA-2015-128167,4,OFF-FA-10000490,1.24,0
Phone,13-04-2014,CA-2014-122336,4,OFF-AR-10000122,4.464,0
Phone,13-04-2014,CA-2014-122336,10,OFF-BI-10003656,50.997,0
Phone,13-04-2014,CA-2014-122336,13,OFF-FA-10002780,2.384,0
Phone,13-04-2014,CA-2014-122336,12,TEC-PH-10000702,5.994,0
Phone,20-12-2015,US-2015-120712,4,OFF-ST-10000107,22.2,0
Desktop,15-06-2017,CA-2017-169901,3,TEC-PH-10002293,15.992,0
